2019-07-06,16:06:21.400730,My Sharona,The Knack,JackFM,
2019-07-06,16:10:43.334521,If You Leave,Orchestral Manoeuvres In The Dark,JackFM,
2019-07-06,16:13:10.760737,Sweet Home Alabama,Lynyrd Skynyrd,JackFM,
2019-07-06,18:04:26.075117,Summer Of 69,Bryan Adams,JackFM,
2019-07-06,18:07:32.432498,Burnin For You,Blue Oyster Cult,JackFM,
2019-07-06,18:08:34.762982,Everlong,Foo Fighters,JackFM,
2019-07-06,18:13:50.057950,Another Brick In The Wall,Pink Floyd,JackFM,
2019-07-06,18:19:03.089461,In The Air Tonight,Phil Collins,JackFM,
2019-07-06,18:24:15.333505,Your Love,Outfield,JackFM,
2019-07-06,18:27:26.244818,Keep On Loving You,REO Speedwagon,JackFM,
2019-07-06,18:37:50.056593,And She Was,Talking Heads,JackFM,
2019-07-06,18:41:58.173812,Refugee,Tom Petty & The Heartbreakers,JackFM,
2019-07-06,18:44:02.901054,Sweet Child O Mine,Guns N Roses,JackFM,
2019-07-06,18:50:18.970869,Dreams,Fleetwood Mac,JackFM,
2019-07-06,19:00:49.066063,Summertime,DJ Jazzy Jeff & The Fresh Prince,JackFM,
2019-07-06,19:04:58.638619,Girls, Girls, Girls,Mã¶Tley Crã¼E,JackFM,
2019-07-06,19:06:00.434543,Girls, Girls, Girls,Mã¶Tley Crã¼E,JackFM,
2019-07-06,19:07:02.322696,Girls, Girls, Girls,Mã¶Tley Crã¼E,JackFM,
2019-07-06,19:08:04.287551,Summertime,DJ Jazzy Jeff & The Fresh Prince,JackFM,
2019-07-06,19:09:07.240020,Girls, Girls, Girls,Mã¶Tley Crã¼E,JackFM,
2019-07-06,19:10:10.683752,Girls, Girls, Girls,Mã¶Tley Crã¼E,JackFM,
2019-07-06,19:11:13.594778,Rock N Me,Steve Miller Band,JackFM,
2019-07-06,19:12:15.723777,Humpty Dance,Digital Underground,JackFM,
2019-07-06,19:18:03.953774,Jump,Van Halen,JackFM,
2019-07-06,19:21:55.721561,Closer,Nine Inch Nails,JackFM,
2019-07-06,19:27:34.052070,I Want You To Want Me,Cheap Trick,JackFM,
2019-07-06,19:30:43.733769,Wild Thing,Tone Loc,JackFM,
2019-07-06,19:35:48.988088,You Give Love A Bad Name,Bon Jovi,JackFM,
2019-07-06,19:37:54.001940,One Way Or Another,Blondie,JackFM,
2019-07-06,19:43:10.892925,Keep Your Hands To Yourself,Georgia Satellites,JackFM,
2019-07-06,19:49:36.889226,Rockin In The Free World,Neil Young,JackFM,
2019-07-06,19:53:46.637009,Self Esteem,OFFSPRING,JackFM,
2019-07-06,19:58:58.084670,Cum On Feel The Noize,Quiet Riot,JackFM,
2019-07-06,20:03:11.827614,I Wanna Be Sedated,RAMONES,JackFM,
2019-07-06,20:05:16.549822,California Love,2 Pac,JackFM,
2019-07-06,20:09:24.571778,Rock & Roll All Nite,KISS,JackFM,
2019-07-06,20:12:33.690228,R.O.C.K. In The U.S.A.,John Mellencamp,JackFM,
2019-07-06,20:15:40.568289,Dirty Deeds Done Dirt Cheap,AC/DC,JackFM,
2019-07-06,20:19:48.867178,Breakup Song,Greg Kihn,JackFM,
2019-07-06,20:21:52.374068,Even Flow,Pearl Jam,JackFM,
2019-07-06,20:27:06.612145,Immigrant Song,Led Zeppelin,JackFM,
2019-07-06,20:30:12.376809,Brass Monkey,Beastie Boys,JackFM,
2019-07-06,20:54:21.730394,Are You Gonna Go My Way,Lenny Kravitz,JackFM,
2019-07-06,20:56:57.108008,Sweet Emotion,Aerosmith,JackFM,
2019-07-06,21:02:59.252501,Yeah,Usher Featuring Lil John,JackFM,
2019-07-06,21:08:08.617415,Nightrain,Guns N Roses,JackFM,
2019-07-06,21:11:49.789898,Wild Wild Life,Talking Heads,JackFM,
2019-07-06,21:15:50.608482,Hot For Teacher,Van Halen,JackFM,
2019-07-06,21:32:28.283663,It Takes Two,Rob Base,JackFM,
2019-07-06,22:42:33.324560,Cult Of Personality,Living Colour,JackFM,
2019-07-06,22:49:00.940763,Mony Mony,Billy Idol,JackFM,
2019-07-06,22:51:23.397315,Any Way You Want It,JOURNEY,JackFM,
2019-07-06,22:54:41.430537,Been Caught Stealin,Janes Addiction,JackFM,
2019-07-06,22:57:50.195951,Rock You Like A Hurricane,Scorpions,JackFM,
